text,label
ferme la gros mongol et retourne tweeter de la merde @USER,0
"Valls sur les accusations de viols qui visent #geralddarmanin « il a mon soutien » « d’abord il y’a la présomption d’innocence » « cette accusation est infâme»

Et pour #TariqRamadan il a accusé Mediapart, le bondy blog, taddeï de « complicité de viol » 

LINK",0
 tu vas contaminer tout le monde paul !!!!!!!,1
En France j'entends car LES TOUT PREMIERS FURENT LES ALLEMANDS de l'opposition Ã  Hitler... Ã§a me fait saigner les doigts et les yeux de mettre une majuscule Ã  ce nom. LINK,0
"Demain avec @USER, auteure de « Du #sexisme dans le #sport » dans @USER twitter.com/7milliardsrfi/…",0
@USER @USER @USER n'empeche tu te prends la tete sur un attarde ca fait mal..,0
"En français il y a quelqu’un qui a demandé à la prof pourquoi on ne peut plus dire ""mademoiselle"" et elle a répondu quelque chose de tellement beau ""Car une fille n’a pas besoin d’être mariée pour être une femme."" Cette prof est géniale moi j’vous le dis",1
@USER @USER jcomprend pas comment des gens peuvent dire que c un jeu de mongol...,0
loon plage : une femme violemment agréssée par un groupe de migrants @USER,0
 ça va etre fait tkt,0
@USER @USER y’a que mongol comme toi pour croire,0
@USER mentalité de mongol,0
Apple tousse mais câest ST Microelectronics qui affiche une grosse crÃ¨ve LINK,0
 enfaite les gars vous savez pas harceler,0
l'islamo-féministe (là-dedans il faut inclure tout victimologiste de gauche dont l'islam est le nouveau dreyfus)… @USER,1
Ptdddddr elle est vraiment partie chercher le dernier negro de Sarcelles LINK,1
"#PayeTonSport n°04

On aura eu du mal à sélectionner une phrase de notre Ribéry national !

--
Partagez-nous... fb.me/YyGb4k30",0
"#balanceTonPorc 8h: @USER se réveille et se demande comment sera habillée Rihanna pour sa rencontre avec Macron aujourd'hui. Parce que la dernière fois....
#GrandeCauseDuQuinquennat LINK",0
Ãa compare Zemmour Ã  Hitler mais le passe sanitaire Ã§a vous dÃ©range tjr pas ducoup ?,1
"Putain de merde, je sais où se trouve un clito, me voila féministe #BalanceTonPorc
 lemonde.fr/m-perso/articl…",1
Le voile islamique est la démonstration d'un islam politique.,1
@USER lol quel mongol!,0
Les musulmans devraient rentrer chez eux.,1
Emmanuel Macron et Theresa May veulent renforcer l’interdiction des armes chimiques lemde.fr/2FrhduZ,0
ke blacks ke blancs rebeus,0
"@USER regarde le match des bleues contre la Norvège ,c’est mieux 😉",0
Tiens marre de #NDDL je préfère regarder #Friends oui oui la série #Homophobe #Sexiste et #Raciste ... décidément je ne suis pas faite pour le #NouveauMonde 😋🙃,0
Amazon bandes de gros fils de putes de merdes jâpaye des chaÃ®nes pour pas voir les match jâai envie de les enculer le cancer pour celui qui a proposÃ© de mettre un pass ligue1 sale fils de chien va que toute ta famille creve,0
"Pecresse, la femme qui rêve d'un pass navigo à 100 euros. #LEmissionPolitique",0
Toujours aussi précieux Durand Souffland. Quand #balancetonporc fait dérailler le procès Tron lefigaro.fr/actualite-fran… via @USER,0
60 ans seulement... On revient de loin #sexisme twitter.com/Fuzzyraptor/st…,1
@USER ptdrrrr eh j’ai explosé kenny c’est un attardé @USER,0
allemagne : les clans arabes font la loi. la police avait décidé de ne pas réagir pour éviter de se faire traiter d… @USER,1
" Leo et Paul, vous n'êtes que des diarrhées verbales !",0
j’espere il vont payer ces vieux rebeus baltringue de merde,0
"Jâadmire les gens qui brodent, qui arrivent Ã  apporter un pdv original aux choses, moi je suis lÃ  Â«Â LF CÃ©line? Câest un nazi qui a Ã©crit voyage au bout de la nuit qui est un roman qui a des qualitÃ©s et voilÃ Â Â»",1
"""@USER @USER Je pense plutÃ´t quâil est archi bridÃ© et que depuis lâarrivÃ©e de ponsot câest pire.
",0
"Le corps de la femme est traitée bizarrement dans notre société vous demandez toujours a le voir et quand il est vue, quelqu'un est une pute.",1
 si tu veux être une pute personne t'oblige a lire,0
 bah tes une salope en faite,1
les blancs qui pensent être africainz parce qu'ils restent avec des renois vous voit comme ça ! #ridicule @USER,0
 articule stp,0
"La #blague de #Tex était effectivement de très #mauvaisgoût, #sexiste &amp; #machiste ! Absolument pas #marrante du tout donc &amp; très déplacée. Quoi qu'il en soit, il n'a jamais été #drôle, plutôt très #lourd, &amp; ne manquera pas ! #violencesfaitesauxfemmes #coups #LesZamours #France2",1
"Le jour où la déferlante actuelle de dénonciations sera suffisamment forte pour que ces victimes laissées à elles-mêmes s’y joignent aussi sera un très grand jour pour les femmes, écrit @USER journaldequebec.com/2017/11/29/les… #moiaussi",1
"En visite au musée du textile de Cholet, mon père s est acheté un mouchoir. #jalousie . Il m a ramené un torchon. #sexisme LINK",1
les fdp qui ont mit le feux aux esserts faut vrm etre attardé pour faire ça,0
@USER @USER @USER @USER @USER il faut en finir avec ces réflexions de gauchiste… @USER,0
@USER @USER @USER @USER @USER @USER @USER c une attardé… @USER,0
"N'en déplaise aux grincheux, aux pessimistes et aux partisans du statu quo...😊  lefigaro.fr/actualite-fran…",0
"""Catherine Deneuve, sa déclaration est judicieuse faut relativiser""",0
« #Meetoo et #balancetonporc s’apparentent à des techniques de sabotage féministe ». Interview d’@USER par @USER sur @USER bastamag.net/Meetoo-et-bala…,0
sosracisme.... je préfère ne rien écrire.... cette association gauchiste ne sert à rien ! @USER,0
"@USER ok ginette, ton cristi de noel tu peux le fÃªter comme tu veux on sen cawliss. Mange ton esti de cochon a marde pis crÃ¨ve dâune maladie temps quâa y Ãªtre. Retourne a lâÃ©cole pis apprendre Ã  diffÃ©rencier des prÃ©fÃ©rence et des c",0
C'est la mÃªme clique Allemagne + Pays nordiques qui reprend du service depuis l'Ã©pisode nazi ! LINK,1
"@USER Dommage que les hommes ne montent pas eux aussi des mouvements du styles que tt ces hystériques féministes montent pour se défendre de folles sorcières et oui il y'en as et je sais de quoi je parle  (je suis une femme) j'en connais.
Courage à Mr #Hulot",1
 t'as les nerfs,0
en israël les migrants africains se sentent victimes de « racisme » - @USER @USER,0
@USER ah enfaite non y’a raison j’avais pas lu le entre parenthèses ! c’est un attardé,0
"Bonsoir à toutes &amp; tous,  ce soir dans #OVPL avec @USER, nous allons parler #Immigration, #Calais, #DidierGuillaume, @USER, #Sexisme dans la pub &amp; #AutoEntrepreneurs LINK",0
"il faut jamais confondre des propos sexistes et  l'agression sexuelle. 
 Cette lettre est la bonne maniere de regarder les choses #MoiAussi #BalanceTonPorc #EtMaintenant twitter.com/LaClermont/sta…",0
"Conjurer la peine et choses de la vie chez les NetTweet. 

N3 : Il y avait du monde à l'enterrement de mémé ?

N2 : autant que pour Johnny.

N3 : Il y avait Jean Dujardin ?

N2: oui.

N3 : Et Angela Merkel ?

N2 : Bien sûr !
(...) 

Et là ils les passent tous. Neimar compris 😅",0
L’#IntelligenceArtificielle au soutien de victimes de #harcelement #sexuel #moiaussi Outil d’information développé par @USER Seront à la #conférence iaenmissionsociale.com ❤️🤖 twitter.com/botler_ai/stat…,0
@USER CrÃ¨ve dans ta pisse,0
regardais ya cb de repons wch moi jdmde vnait dm ya ke lautre mongol ki vien @USER,0
"@USER @USER @USER Le blocage normand à sauvé le monde mondial mondialisé en 1945 Môssieur, sans lui vous seriez sous le joug de Angela Merkel",0
""" Avec les hashtags #BalanceTonPorc et #MeToo, la question des violences faites aux femmes est en partie sortie des rubriques de « faits divers », comme nous l’écrivions dans notre précédent article, pour devenir un fait politique majeur (...)"" acrimed.org/Violences-fait… """,0
"[BD] La dessinatrice Emma répond à la tribune sur la « liberté d’importuner » signée par Catherine Deneuve (et ça fait mal)

neonmag.fr/bd-la-dessinat…",0
 qui pour un kebab ?,0
Les «briseuses de silence» désignées «personnalité de l’année» par «Time» #moiaussi #metoo #12joursdaction ledevoir.com/societe/medias… via @USER,0
"On ne peut plus complimenter une fille de nos jours sans paraître #sexiste !😞
Pas de jolis nibards, ni de... Enfin bref",1
"@USER @USER @USER @USER Oui, Ã  la droite d'Hitler",1
Je soutiens Vicky #comingout car son ex était ptetre un #balancetonporc #MariesAuPremierRegard,0
naples c’est une putain d’équipe d’attardé,0
@USER @USER @USER @USER La gauche que l'on connait en France aujourd'hui n'a RIEN Ã  voir avec le parti national socialiste qui a Ã©lu Hitler. Comment pouvez vous les comparer ? Ce ne sont aps les gens de gauche que l'on a en,0
"Pour @USER @USER @USER ""Prise de conscience des Codir du besoin d'avoir des femmes dans ces instances"" Le sexisme est un obstacle"" #EnsembleContreLeSexisme #25janvier LINK",0
"Jviens d’apprendre qu’un ex-collègue et ami marié depuis environ 20 ans, 2 enfants a décidé d’annoncer à sa femme qu’il venait de rencontrer quelqu’un... elle a rigolé et lui a dit qu’elle était elle-même avec un autre homme depuis 2 ans... jpense jvais rester seul c’est mieux",0
@USER @USER ps mais el acquiaissais tout ce qu'el disait el disait à la russe laisser tomber faut ps par… @USER,0
@USER CrevÃ©,0
 salope ! tu t vu ?,0
@USER @USER j'ai déjà mis mongol roulé avec toi ?,0
"On a - ou on devrait évidemment avoir - le droit d'être vêtu(e) comme on l'entend sans avoir à subir l'injure. On a - ou on devrait également avoir - celui de dire que toutes les tenues ne sont pas adaptées à toutes les circonstances sans se voir taxer de sexisme.
#AuroreBerge",1
"""T'as des gros seins, t'es mon type de femme. J'vais t'faire jouir toute la nuit""! #ÉricBrion* EX D'#EQUIDIA BIEN TROP CAVALIER, RECONNAIT CES DIRES MAIS ATTAQUE EN JUSTICE POUR ""SANCTION DISPROPORTIONNEE"".

C'EST CELUI QUI DIT QUI HAIT !

*le 1er porc de la saga #balancetonporc LINK",1
"L'antipathie d’Angela Merkel pour les Russes s'expliquerait par… un trauma d’enfance
sptnkne.ws/hn6d LINK",0
"'La journaliste Sandra Muller, qui a créé le mot-clé #Balancetonporc en réaction au scandale Weinstein, est poursuivie en diffamation par l’homme qu’elle a accusé nommément sur Twitter'. lemonde.fr/societe/articl…",0
#Darmanin ma contribution de la journée pour #Macron et #edouardphilippe 👀 #BalanceTonPorc LINK,0
Les gens qui s'estiment victimes d'hétérophobie/cisphobie/racisme anti-blancs/minçophobie/sexisme anti-hommes au même niveau que les victimes d'homophobie/transphobie/racisme/grossophobie/sexisme sont juste des pleurnicheurs twitter.com/Conardeur/stat…,0
@USER barakaallah ou fik ! les arabes de services sa va 2 minutes. se foutre de la gueule de son bled c… @USER,0
"""@USER @USER @USER RÃ©visez votre histoire 
",0
"Si t'as une bite a la place du coeur, t'étonne pas d'avoir une pute a la place d'une femme""",1
"Une tribune très pertinente dans @USER sur l' #humour #raciste, #sexiste, le #blackface de #Griezmann #Coluche #desproges etc. liberation.fr/debats/2017/12… via",0
 on dit que la vérité grosse pute,0
je crÃ¨ve LINK,0
 part devant paert derriere part touys les coter,0
"""@USER @USER Tu peux mâattaquer sur des blagues, sur du virtuel, tout ce que tu veux mais la VRAIE VIE ? 
",0
"@USER @USER #schiele #ToArtItsFreedom  2018 emancipation des cons &amp; connes con.n.nes ?
#feminisme #féministes #integrisme #islamisme #art #culture #litterature #sexe #harcelement @USER @USER @USER #Deneuve #BrigitteBardot #balancetonporc @USER @USER",0
"📅Le 25 jan est née Maud Wood Park (1871-1955) militante féministe et suffragiste états-unienne. 1ère présidente de la League of Women Voters,est connue pour ses discours fougueux en faveur du 19e amendement donnant le dt de vote aux femmes,qui finit par entrer en vigueur en 1920 LINK",0
je m'attarde sur des détails de merde mais aussi son arme :,0
@USER @USER possible. mais y'a vlà les renois de 2m à cergy ptdrrr donc j'sais ap,0
"Quelle est la diffÃ©rence entre un nazi et ce monsieur qui Ã©tait le meilleur ami et le maÃ®tre Ã  penser de Francis Lalanne ? Oui Francis Lalanne, le chanteur humaniste, vous savez... ðð¤£ LINK",1
@USER @USER dis gogole pas mongol c’est un peuple wsh,0
Trouve une femme pas une salope qui voudra ton fric,1
mais ce que la vie fait le renois 1 ce sépara de ça chérie .. sad history,0
"#Bartoli raconte comment son ex l'a ""totalement détruite"" et poussée à maigrir #sexisme #violencespsychologiques huffingtonpost.fr/2018/01/09/mar…",0
@USER sos racisme est une bande de dégénérés bobo gauchiste de première,0
@USER @USER @USER @USER @USER Un youpin antisÃ©mite... On aura tout lu !,1
@USER cest 50cent ca mongol --',0
jbrise les rapports comme les renois de stamford bridge,0
@USER @USER @USER @USER la déchristianisation ou l'abrutissement et la propagande gauchiste?… @USER,0
a cru voir un homme tenant par la main une femme en burka... On coupe pas la main des hommes pour cela ? #ironie!,0
"@USER Je reconnais que je vais un peu vite dans mon explication, PÃ©tain a voulut faire de la diplomatie en lÃ¢che et il sâest fait avoir trahis par Hitler, câest bon câest compris, câest du niveau de 5Ã¨mes au collÃ¨ge Ã§a et si tu nâas rien p",0
"Petit rappel simple : Les femmes sont libres, si une femme souhaite montrer son corps, tu n’as rien à dire et tu n’as encore moins le droit de la toucher, son corps lui appartient à 100%

Bonne nuit à tous sauf à ceux qui banalisent le viol",0
"Tu es là ta femme t'appelle parce que tu es dehors et te dit de répéter Son nom en rajoutant ""Tu es ma femme et pas ma soeur. Je ne suis avec aucune salope""  

Ça fait 15min que j'arrête pas de rigoler",0
@USER @USER je joue à pubg depuis sa sorti petit mongol 0 rapport pubg comme tout les jeux avec des sk… @USER,0
heetch mamadou ntm tes un ptn de mongol tt le trajet jvoulais te cracher la gueule fdp,0
@USER @USER avec les mongol c’est vraiment vraiment incroyable ! mais saison 1 reste magnifique avec shah suleyman ...,0
 COUCOU,0
"@USER Et si Hitler avait gagnÃ© en 45, Strasbourg serait peut-Ãªtre actuellement en tÃªte de la bundesliga. C'est quand mÃªme eux qui ont le plus perdu dans cette affaire.",0
«Salut les Terriens» : Aurore Bergé s'insurge contre les commentaires sexistes sur sa robe limportant.fr/infos-societe/… #Société LINK,0
Lutte contre le sexisme et les préjugés : Gambetta s'engage dlvr.it/QBztL4,0
"""Angela Merkel a été plus courageuse que les autres : elle a dit hier devant le Bundestag que le comportement de la Turquie envers les kurdes était une honte."" @USER #FaceAuxChretiens",0
