text,label
@USER Arrête de me harceler alors ! #balancetonporc,1
@USER tellement facile de taper sur zemmour allez vous faire les dents sur les racailles rebeus du 93 pour l… @USER,0
@USER @USER Je sais je sais ð (jâai fini lâjeu negro),1
@USER @USER sauf que c'est pas 100% pareil sale attardé,0
@USER mais meme rebeus oran je chiale meuf,0
 va retourner voler des montres,1
 jimmy aucupe toi de ton cue que paul encule ;),1
@USER @USER @USER Non avons lÃ  un bon nazi LINK,1
"#Bestof
""Liberté d'importuner"" : @USER et @USER ont réagi à une semaine de polémiques et à la ""tribune-réponse"" de #CatherineDeneuve...
▶️ youtu.be/_UsOsLIf8Uc LINK",0
"@USER ""dénoncer les actes pédophiles qui leur sont avoués dans le secret du confessionnal"" ?

""les prêtres qui s'y risqueraient seraient punis d'excommunication""

#balancetonporc #balancetonpedo
Dieu protège tout le monde, sauf les victimes twitter.com/LaParoleLibere…",1
Angela Merkel en visite à Washington ce vendredi dlvr.it/QQxSMv LINK,0
"@USER Je peux donc, moi aussi, menacer mes collègues de détruire leur vie et de tout faire en mon pouvoir pour que plus jamais personne ne les embauche!!! Cool... ou pas! #BalanceTonPorc",1
#twingo #nailpolish : retour sur la #pub misogyne de @USER @USER #publicité #balancetonporc #nail #femme #Renault melticolor.fr/twingo-nail-po… LINK,1
"@USER @USER @USER @USER @USER Bah il a fini radiÃ© du psi et Hitler Ã  Ã©liminÃ© les quelques partisans d'une politique sociale lors de la nuit des longs couteaux. De toute faÃ§on tout,  dans la politique que mussolini et Hitler o",0
"🗞️ [SONDAGE] 

La dernière Une de #Marianne sur ""Libérons la parole des hommes"", qui estime que le mouvement #balancetonporc est bon mais qu'il ne faut pas tomber dans l'animalisation, est pour vous :

#Balancetatruie #MeToo",1
40 années de laxisme gauchiste !!!! @USER,1
@USER HAHAHAHAH PLUS JAMAIS JVAIS MANGER EN TERASSE EN HIVER JâAI LA CRÃVE MEUF,0
"@USER Si Hitler a Ã©tÃ© Ã©lu c'est qu'avant lui certains on laissÃ© s'installer le chaos, la pauvretÃ©, l'injustice...",0
"Conseil des ministres : 
-Tiens , comme promis les coordonnées de la Call-girl 
-Merci , tu dis rien à ma femme 😉

#darmaningate LINK",1
@USER Non parce que jâai peur que nos negre blanc veulent faire pareil,1
"Un collectif de 100 femmes dénonce la campagne #Moiaussi dans une lettre ouverte publiée.
Elles jugent que certains types d’attouchements ou de comportements ne devraient pas être nécessairement dénoncés.

Qu'en pensez-vous?

ici.radio-canada.ca/premiere/emiss…",0
"Ça me désole de voir à quel point la sexualité de la femme est encore ultra tabou, si une femme a envie de se faire soulever ou se fait soulever autant de fois qu’elle le veut force à elle d’etre épanouie sexuellement bordel et y’a aucun « sale pute » ou « salope » qui tienne",0
"Pour Sophie Durocher le mouvement #MoiAussi est une dérive. Le Journal de Montréal a toujours été jaune pisse, mais là la couleur change, il devient de plus en plus brun marde.",1
"@USER @USER Donc, un certain islam voyant c'qui c'passe avec #MoiAussi #BalanceTonPorc leur donne des arguments pour dire à leurs jeunes fidèles qu'le voile les protège contre ces agressions.",1
LYSIANE GAGNON - Catherine Deneuve et le double piège #lapresseplus   Point de vue intéressant! plus.lapresse.ca/screens/4f4a9e…,0
